id,nombre,codigo_nif,localidad,trabajadores,roe,roa,valor_agregado,ingresos_explotacion_empleado,ingresos_explotacion,resultado_ejercicio,total_activo,valoracion,n_valoraciones,esta_trip,total_visits_similar,ratio_resenas_visitas,valoracion_ponderada,stem_zon_de_lectur,stem_curs_de_cocin,stem_solarium,stem_intang,stem_gimnasi,stem_enovisit,stem_piscin,stem_alquil,stem_hospedaj,stem_indic_geograf_proteg,stem_festival,stem_interior,stem_sombrill,stem_jardin,stem_decor,stem_lectur,stem_dop,stem_suit,stem_hotel,stem_huesp,stem_estanci,stem_comedor,stem_bibliotec,stem_masaj,stem_igp,stem_menus,stem_rehabilit,stem_curs,stem_play,stem_zon_comun
1261,VINESSENS SL,B54396973,VILLENA,7,0.364,0.617,297.19148,113.915675,797.40973,2.26837,2342.52362,4.9,24,0,4300,0.005581395348837209,0.2041666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,1,0
1116,BODEGAS SILVANO GARCIA SOCIEDAD LIMITADA.,B73672644,JUMILLA,5,-22.771,-4.151,167.05961,196.818066,984.09033,-111.68834,2743.93274,4.6,187,1,1100,0.17,0.02459893048128342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2002,BODEGAS INFANTE SL,B21254974,LA PALMA DEL CONDADO,1,11.292,3.361,73.497959,265.09162,265.09162,23.45563,1100.81762,4.9,35,1,4600,0.007608695652173913,0.14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1203,BODEGAS AMADOR GARCIA SOCIEDAD LIMITADA.,B01509413,BAÑOS DE EBRO/MAÑUETA,4,7.087,3.714,153.40872,215.686952,862.747809,19.83795,775.51972,4.8,33,0,4500,0.007333333333333333,0.14545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,ASENSIO VIÑEDOS Y BODEGAS SL,B31241367,SESMA,3,-19.005,-13.594,-6.58378,76.845146,230.53544,-154.31883,1101.85634,NA,NA,0,885,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2557,BODEGAS CAÑALVA SL.,B10448504,CAÑAMERO,8,7.516,-0.601,26.97809,198.00365,113.47948,-3.10904,500.78803,5,5,0,7100,7.042253521126761e-4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
455,ALTA ALELLA S.L.,B66926684,TIANA,26,5.948,4.607,1225.93011,139.537546,3627.97621,236.310919,6151.89497,4.7,475,0,20300,0.023399014778325122,0.009894736842105263,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,10,0,8,13,1,13,0,3,0,0,0,0,0,0,0
468,AGRO DE BAZAN SA,A36034668,VILANOVA DE AROUSA,19,2.378,1.841,1069.834909,184.512405,3505.73571,42.79709,5539.94973,4.8,345,0,9800,0.03520408163265306,0.013913043478260868,0,0,0,0,0,0,0,1,0,0,0,8,0,22,17,26,0,0,0,3,3,0,1,0,0,20,2,6,2,0
874,GRANDES BODEGAS SL,B78001211,LA HORRA,11,2.464,2.381,652.294,141.425363,1555.679,210.543,8987.596,3.4,5,0,3300,0.0015151515151515152,0.6799999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,39,0,0,2,0,3,0,0,0,0,0,0,0,0,0
2978,BODEGAS LA DIVISA SOCIEDAD LIMITADA.,B19662584,TORVIZCON,1,-2.68,-0.926,4.379,96.404356,52.31121,-1.258,181.07933,4.9,34,1,3100,0.01096774193548387,0.14411764705882354,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,4,0,0
